год,сторона,час,свет
человек,страна,нога,путь
время,мир,решение,минута
дело,случай,дверь,улица
жизнь,голова,история,вечер
день,ребенок,война,мысль
деньги,сила,голос,дорога
рука,конец,тысяча,мать
работа,часть,книга,действие
слово,город,ночь,месяц
место,женщина,стол,государство
лицо,земля,имя,язык
друг,машина,число,любовь
глаз,вода,народ,взгляд
вопрос,отец,жена,мама
дом,проблема,начало,школа
